site,barcode,fstation,sitetype,stratum,sdate,stime,fdate,ftime,pool,lcode,gear,period,rep,summary,project,effdist,effhr,effmin,pwrgoal,pwrused,volts,v_qf,amps,a_qf,pulses,p_qf,dutycyc,dc_qf,utmzone,utm_e,utm_n,gisgrid,zone15e,zone15n,gpsmeth,gpsacc,secchi,s_qf,temp,t_qf,depth,d_qf,cond,c_qf,current,cv_qf,do,do_qf,stageht,sh_qf,sveg92,vegd,eveg92,esveg92,substrt,snag,wingdyke,trib,riprap,inout,closing,flooded,othrstrc,labind,contanrs,shtcnt,totfishc,leader,pageno,rec_site,rownum,fishcode,length,tfs,grp_wdth,catch,weight,pathcode,subproj,userdef,recorder,nfsh_cnt,orphflag,batchno
Peoria TWZ,16010143,6,2,TWZ,09/03/2010,10:42,09/03/2010,10:57,LG,I157.8Vb,D,2,,5.0,M-,200,0,15,5479,5549,179,,31.00,,60.00,,25,,16,277612,4500954,78510.50290,785073,4503092,2,1.0,15,,25.6,,1.00,,752,,0.25,,7.3,,,,,,,0,4,0,0,0,1,0,1,0,0,,0,,188,,1,1,1,SVCP,360,T,1,1,,,,,,,0,2707
PEORIA TWZ,16009246,6,2,TWZ,07/02/2008,11:08,07/02/2008,11:23,LG,I157.8Vb,D,1,,5.0,M-,200,0,15,5430,5200,200,,26.00,,60.00,,25,,16,277612,4500954,78510.50290,785073,4503092,2,1.0,32,,25.7,,2.00,,742,,0.25,,6.9,,,,,,,0,4,1,0,0,0,0,0,1,0,,0,,4671,,1,1,7,SVCP,140,T,1,1,,,,,,,0,2704
Grape Island,16009290,6,0,SCB,08/05/2008,12:50,08/05/2008,13:05,LG,D11.RS,D,2,,5.0,M-,200,0,15,4973,5000,200,,25.00,,60.00,,25,,15,716383,4431515,71640.43130,716383,4431515,2,2.0,21,,30.0,,1.20,,603,,,5,3.4,,,,,,,0,1,0,0,0,0,0,0,0,0,,0,,210,,1,1,3,SVCP,530,T,1,1,,,,,,,0,2704
BAR ISLAND,16009330,6,0,SCB,08/21/2008,10:30,08/21/2008,10:45,LG,D9.RS,D,2,,5.0,M-,200,0,15,5176,5200,200,,26.00,,60.00,,25,,15,714383,4430865,71440.43065,714383,4430865,2,2.0,25,,26.0,,0.50,,690,,0.05,,4.7,,,,,,,0,3,1,0,0,0,0,0,0,0,,0,,475,,1,1,90,SVCP,50,T,1,1,,,,,,,0,2704
MEYERS DITCH,16009347,6,1,BWC-S,08/29/2008,12:35,08/29/2008,12:50,LG,F50A.RS,D,2,,5.0,M-,200,0,15,5259,5270,170,,31.00,,60.00,,25,,15,755883,4475365,75590.47515,755883,4475365,2,2.0,18,,27.3,,0.70,,694,,0.00,,4.5,,,,,,,0,1,1,0,0,0,0,0,0,0,,0,,145,,1,1,109,SVCP,290,T,1,1,,,,,,,0,2704
BELOW HAVANA,16009423,6,0,MCB-U,10/02/2008,10:10,10/02/2008,10:25,LG,D34.RS,D,3,,5.0,M-,200,0,15,4122,4080,240,,17.00,,60.00,,25,,15,746133,4461015,74615.46080,746133,4461015,2,1.0,40,,19.3,,2.40,,539,,0.08,,5.3,,,,,,,0,4,0,0,0,1,0,0,0,0,,0,,81,,1,1,7,SVCP,90,T,1,1,,,,,,,0,2704
BANNER,16009502,6,0,SCB,08/10/2009,11:30,08/10/2009,11:45,LG,D9.RS,D,2,,5.0,M-,200,0,15,5573,5600,200,,28.00,,60.00,,25,,15,767883,4491465,76790.49125,767883,4491465,2,1.0,15,,27.2,,1.20,,757,,0.08,,6.5,,,,,,,0,4,0,0,0,1,0,0,0,0,,0,,98,,1,1,53,SVCP,360,T,1,1,,,,,,,0,2706
COON HOLLOW,16007122,6,1,SCB,10/04/2002,10:10,10/04/2002,10:25,LG,C31A.RS,D,3,,5.0,M-,200,0,15,5800,5760,160,,36.00,,60.00,,25,,15,766483,4490315,76650.49010,766483,4490315,2,2.0,,5,23.0,,0.80,,823,,0.05,,6.0,,5.7,,,,,0,4,1,0,0,0,0,0,0,0,,0,8,158,470,1,1,118,SVCP,589,T,,1,2324.00,,,,470,,0,2205
beow Sugar C,16007312,6,0,MCB-U,09/08/2003,13:00,09/08/2003,13:15,LG,D31.RS,D,2,,5.0,M-,200,0,15,5371,5280,160,,33.00,,60.00,,25,,15,722183,4439565,72220.43935,722183,4439565,2,1.0,16,,26.5,,1.00,,730,,0.09,,6.6,,6.3,,,,,0,2,0,0,0,0,0,0,0,0,,0,,51,470,1,1,25,SVCP,81,T,,1,,,,,0,,0,2301
BATH FIXED,16008190,6,2,SCB,09/21/2005,09:10,09/21/2005,09:25,LG,I113.0T,D,3,,5.0,M-,200,0,15,5419,5400,180,,30.00,,60.00,,25,,15,743477,4455118,74350.45490,743477,4455118,2,1.0,28,,23.4,,1.00,,784,,0.07,,6.6,,,,,,,0,1,1,0,0,0,0,0,0,0,,0,,80,,1,1,42,SVCP,490,T,1,1,, ,  ,          I,,,0,2501
