full_name,site,parameter,V1
Linf_hyper,hyper,Linf,691
Linf_dresden,a,Linf,691
Linf_marseilles,b,Linf,691
Linf_starved,c,Linf,691
K_hyper,hyper,K,0.7559
K_dresden,a,K,0.7559
K_marseilles,b,K,0.7559
K_starved,c,K,0.7559
max_hyper,hyper,max,0.5950334
max_dresden,a,max,0.5950334
max_marseilles,b,max,0.5950334
max_starved,c,max,0.5950334
alpha_hyper,hyper,alpha,450
alpha_dresden,a,alpha,200
alpha_marseilles,b,alpha,200
alpha_starved,c,alpha,200
beta_hyper,hyper,beta,-5
beta_dresden,a,beta,-5
beta_marseilles,b,beta,-5
beta_starved,c,beta,-5
min_hyper,hyper,min,0.0002
min_dresden,a,min,0.0002
min_marseilles,b,min,0.0002
min_starved,c,min,0.0002
g_migration_hyper,hyper,g_migration,0
g_migration_dresen,a,g_migration,0
g_migration_marseilles,b,g_migration,0
g_migration_starved,c,g_migration,0
g_length_hyper,hyper,g_length,0.000001
g_length_dresden,a,g_length,0.000001
g_length_marseilles,b,g_length,0.000000025
g_length_starved,c,g_length,0.000001
